file_name,column_name,logical_field,meaning,allowed_values_or_pattern,example_values,notes
responsibility_shielding_cleaned.csv,distal_wrong_ch,distal agent wrongness rating,Rating of the distal agent on wrongness in Choice-Chance (CH; non-shielded).,numeric,"9.0, 5.0, 7.0, 6.0, 8.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_wrong_div,distal agent wrongness rating,Rating of the distal agent on wrongness in Division (DIV).,numeric,"9.0, 7.0, 8.0, 4.0, 6.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_punish_cc,distal agent punishment rating,Rating of the distal agent on punishment in Choice-Choice (CC; shielded).,numeric,"11.0, 5.0, 2.0, 20.0, 0.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_punish_ch,distal agent punishment rating,Rating of the distal agent on punishment in Choice-Chance (CH; non-shielded).,numeric,"15.0, 5.0, 2.0, 20.0, 10.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,distal_punish_div,distal agent punishment rating,Rating of the distal agent on punishment in Division (DIV).,numeric,"15.0, 5.0, 1.0, 20.0, 2.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_blame_cc,proximate node blameworthiness rating,Rating of the proximate node on blameworthiness in Choice-Choice (CC; shielded).,numeric,"9.0, 6.0, 8.0, 5.0, 3.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_blame_ch,proximate node blameworthiness rating,Rating of the proximate node on blameworthiness in Choice-Chance (CH; non-shielded).,numeric,"9.0, 7.0, 3.0, 4.0, 6.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_wrong_cc,proximate node wrongness rating,Rating of the proximate node on wrongness in Choice-Choice (CC; shielded).,numeric,"9.0, 5.0, 3.0, 6.0, 4.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_wrong_ch,proximate node wrongness rating,Rating of the proximate node on wrongness in Choice-Chance (CH; non-shielded).,numeric,"9.0, 1.0, 7.0, 3.0, 4.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_punish_cc,proximate node punishment rating,Rating of the proximate node on punishment in Choice-Choice (CC; shielded).,numeric,"20.0, 5.0, 3.0, 2.0, 1.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,proximate_punish_ch,proximate node punishment rating,Rating of the proximate node on punishment in Choice-Chance (CH; non-shielded).,numeric,"20.0, 25.0, 2.0, 0.0, 10.0",Raw rating column before contrast construction.
responsibility_shielding_cleaned.csv,comprehension_probability_same_bool,comprehension check: matched probability,Whether the participant correctly understood that the upstream actor faced the same downstream harm probability across conditions.,True | False,"True, False",One of the preregistered comprehension checks.
responsibility_shielding_cleaned.csv,comprehension_distal_necessary_bool,comprehension check: distal necessity,Whether the participant correctly understood that the distal actor’s action was necessary for harm.,True | False,"False, True",One of the preregistered comprehension checks.
responsibility_shielding_cleaned.csv,comprehension_bill_necessary_bool,comprehension check: proximate necessity,Whether the participant correctly understood that the proximate node’s action was necessary for harm.,True | False,"True, False",One of the preregistered comprehension checks.
responsibility_shielding_cleaned.csv,comprehension_all_correct_bool,comprehension pass indicator,Whether the participant passed all preregistered comprehension checks.,True | False,"False, True",Feeds directly into the included variable.
responsibility_shielding_cleaned.csv,crt_score,cognitive reflection score,Total number of correct answers on the 3-item Cognitive Reflection Test.,0 | 1 | 2 | 3,"0.0, 3.0, 2.0, 1.0",Exploratory individual-differences variable.
responsibility_shielding_cleaned.csv,individualism_horizontal,horizontal individualism score,Derived INDCOL horizontal individualism summary score.,numeric,"0.421875, 0.546875, 0.34375, 0.59375, 0.4375",Exploratory individual-differences variable.
responsibility_shielding_cleaned.csv,individualism_vertical,vertical individualism score,Derived INDCOL vertical individualism summary score.,numeric,"0.515625, 0.4635416666666667, 0.453125, 0.6458333333333333, 0.4479166666666667",Exploratory individual-differences variable.
responsibility_shielding_cleaned.csv,individualism_score,overall individualism score,Composite individualism score derived from the INDCOL measure.,numeric,"0.46875, 0.5052083333333334, 0.3984375, 0.6197916666666666, 0.4427083333333333",Exploratory individual-differences variable.
responsibility_shielding_cleaned.csv,included,analysis inclusion flag,Whether the participant was included under the preregistered comprehension-based inclusion rule.,True | False,"False, True",True means included in the main analyses; False means all-finisher robustness only.
responsibility_shielding_cleaned.csv,age,age,Participant age.,numeric,"18, 20, 19, 32, 24",Demographic variable.
responsibility_shielding_cleaned.csv,gender,gender,Participant gender response.,Female | Male | Non-binary / third gender | Prefer not to say,"Female, Male, Non-binary / third gender, Prefer not to say",Demographic variable.
responsibility_shielding_cleaned.csv,race_compact,race,"Participant race response in compact form, including self-describe text when applicable.",categorical text,"Black or African American, White, Asian, Self describe: Hispanic/Latino, Other",Demographic variable.
responsibility_shielding_cleaned.csv,political_compact,political orientation,"Participant political orientation response in compact form, including self-describe text when applicable.",categorical text,"Liberal/progressive, Nonpolitical, Moderate, Conservative, Self describe: (blank)",Demographic variable.
responsibility_shielding_cleaned.csv,duration_seconds,survey duration,Qualtrics completion duration in seconds.,numeric,"664.0, 1030.0, 737.0, 437.0, 658.0",Descriptive timing variable.
responsibility_shielding_cleaned.csv,q_recaptcha_score,cleaned dataframe field,Column in the cleaned participant-level dataframe.,1.0 | 0.899999976 | 0.800000012 | 0.5 | 0.600000024 | 0.699999988 | 0.200000003,"1.0, 0.899999976, 0.800000012, 0.5, 0.600000024",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,consent_form,cleaned dataframe field,Column in the cleaned participant-level dataframe.,I CONSENT to participate in this study | I DO NOT consent to participant in this study,"I CONSENT to participate in this study, I DO NOT consent to participant in this study",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,cog_load_check,cleaned dataframe field,Column in the cleaned participant-level dataframe.,numeric,"63, 842, 8403952, 8420539, 8403529",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,crt_bat_ball,cleaned dataframe field,Column in the cleaned participant-level dataframe.,numeric,"10, 5, 2, 50, 1",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,crt_widgets,cleaned dataframe field,Column in the cleaned participant-level dataframe.,numeric,"20, 100, 5, 50, 1",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,crt_lilly_pads,cleaned dataframe field,Column in the cleaned participant-level dataframe.,numeric,"6, 24, 47, 30, 10",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,incdol_hi_1_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(9) totally agree, (7) agree, (5) neither agree nor disagree, 6, 8",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hi_2_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(9) totally agree, (7) agree, (3) disagree, 6, 8",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hi_3_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"6, (7) agree, 8, (5) neither agree nor disagree, (9) totally agree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vi_1_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"6, (5) neither agree nor disagree, 8, (7) agree, 4",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vi_2_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(7) agree, 6, (5) neither agree nor disagree, 2, 4",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vi_3_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(3) disagree, 6, (5) neither agree nor disagree, 8, (7) agree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vi_4_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(5) neither agree nor disagree, 6, (7) agree, (3) disagree, 4",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hc_1_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(9) totally agree, (5) neither agree nor disagree, (7) agree, 6, 8",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hc_2_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,8 | 6 | (9) totally agree | (7) agree | (5) neither agree nor disagree | 4 | (3) disagree | (1) totally disagree,"8, 6, (9) totally agree, (7) agree, (5) neither agree nor disagree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hc_3_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(9) totally agree, (7) agree, (5) neither agree nor disagree, 6, 8",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_hc_4_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(9) totally agree, (7) agree, 6, 8, (5) neither agree nor disagree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vc_1_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"4, (5) neither agree nor disagree, (7) agree, 6, (3) disagree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vc_2_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"(7) agree, 4, (5) neither agree nor disagree, (9) totally agree, 8",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,indcol_vc_3_1,cleaned dataframe field,Column in the cleaned participant-level dataframe.,string / text,"4, (7) agree, 6, (5) neither agree nor disagree, (3) disagree",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,id,cleaned dataframe field,Column in the cleaned participant-level dataframe.,numeric,"94481, 94586, 93449, 93380, 94300",No specialized rule matched this column name. Read alongside neighboring columns for context.
responsibility_shielding_cleaned.csv,bill_minus_distal_cc_blame,interpersonal disparity on blameworthiness,Proximate minus distal difference on blameworthiness within Choice-Choice (CC; shielded).,numeric difference score,"3.0, 0.0, 2.0, -2.0, 1.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,bill_minus_distal_ch_blame,interpersonal disparity on blameworthiness,Proximate minus distal difference on blameworthiness within Choice-Chance (CH; non-shielded).,numeric difference score,"0.0, 3.0, 2.0, 1.0, -5.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,bill_minus_distal_cc_wrong,interpersonal disparity on wrongness,Proximate minus distal difference on wrongness within Choice-Choice (CC; shielded).,numeric difference score,"2.0, 0.0, 1.0, -2.0, -1.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,bill_minus_distal_ch_wrong,interpersonal disparity on wrongness,Proximate minus distal difference on wrongness within Choice-Chance (CH; non-shielded).,numeric difference score,"0.0, 4.0, -4.0, 2.0, -2.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,bill_minus_distal_cc_punish,interpersonal disparity on punishment,Proximate minus distal difference on punishment within Choice-Choice (CC; shielded).,numeric difference score,"9.0, 0.0, 1.0, -3.0, 3.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,bill_minus_distal_ch_punish,interpersonal disparity on punishment,Proximate minus distal difference on punishment within Choice-Chance (CH; non-shielded).,numeric difference score,"5.0, 20.0, 0.0, -20.0, -1.0","Diagnostic interpersonal disparity, not the main counterfactual shielding definition."
responsibility_shielding_cleaned.csv,distal_cc_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_cc block: first_click_seconds.,numeric seconds,"31.147, 172.955, 4.305, 59.157, 56.903",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_cc_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_cc block: last_click_seconds.,numeric seconds,"37.814, 187.935, 68.087, 76.077, 73.42",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_cc_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the distal_cc block: last_minus_first_seconds.,numeric seconds,"6.667000000000002, 14.97999999999999, 63.782, 16.92, 16.517000000000003",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_ch_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_ch block: first_click_seconds.,numeric seconds,"55.628, 144.168, 62.852, 12.348, 31.892",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_ch_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_ch block: last_click_seconds.,numeric seconds,"62.945, 213.814, 81.513, 21.468, 57.592",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_ch_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the distal_ch block: last_minus_first_seconds.,numeric seconds,"7.317, 69.64599999999999, 18.66100000000001, 9.12, 25.7",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_div_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_div block: first_click_seconds.,numeric seconds,"101.549, 127.115, 58.881, 9.302, 81.248",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_div_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the distal_div block: last_click_seconds.,numeric seconds,"126.032, 162.096, 70.738, 22.255, 112.032",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,distal_div_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the distal_div block: last_minus_first_seconds.,numeric seconds,"24.48299999999999, 34.98100000000001, 11.857, 12.953, 30.783999999999992",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_cc_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_cc block: first_click_seconds.,numeric seconds,"26.589, 17.75, 53.508, 9.59, 7.765",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_cc_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_cc block: last_click_seconds.,numeric seconds,"31.873, 22.566, 59.625, 21.715, 25.964",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_cc_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_cc block: last_minus_first_seconds.,numeric seconds,"5.2840000000000025, 4.815999999999999, 6.116999999999997, 12.125, 18.199",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_ch_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_ch block: first_click_seconds.,numeric seconds,"17.412, 20.941, 32.643, 5.498, 10.467",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_ch_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_ch block: last_click_seconds.,numeric seconds,"22.797, 43.757, 40.293, 21.152, 28.734",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,proximate_ch_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the proximate_ch block: last_minus_first_seconds.,numeric seconds,"5.385000000000002, 22.816, 7.649999999999999, 15.654, 18.267000000000003",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,comprehension_timing_first_click_seconds,page timing variable,Unified Qualtrics timing measure for the comprehension block: first_click_seconds.,numeric seconds,"5.39, 7.086, 12.071, 17.593, 8.619",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,comprehension_timing_last_click_seconds,page timing variable,Unified Qualtrics timing measure for the comprehension block: last_click_seconds.,numeric seconds,"17.206, 24.021, 31.621, 28.278, 27.404",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_cleaned.csv,comprehension_timing_last_minus_first_seconds,page timing variable,Unified Qualtrics timing measure for the comprehension block: last_minus_first_seconds.,numeric seconds,"11.816, 16.935000000000002, 19.55, 10.685, 18.785",Derived from story-specific Qualtrics timing fields.
responsibility_shielding_tests.csv,analysis_family,analysis family,Whether the row belongs to the preregistered confirmatory family or the exploratory family.,confirmatory | exploratory,"confirmatory, exploratory",Used heavily by the manuscript tables.
responsibility_shielding_tests.csv,analysis_mode,analysis mode,How the row was analyzed statistically.,raw_parametric | raw_nonparametric | log1p_parametric,"raw_parametric, log1p_parametric",Especially important for punishment rows.
responsibility_shielding_tests.csv,test_type,statistical test type,The specific test used to compute the row.,pooled_ols_planned_contrast | welch_t_test_independent | paired_t_test,"pooled_ols_planned_contrast, welch_t_test_independent, paired_t_test","Examples include pooled OLS planned contrasts, Welch tests, and nonparametric tests."
responsibility_shielding_tests.csv,transformation,transformation flag,Whether the dependent variable was transformed before analysis.,none | log1p,"none, log1p",Most relevant for punishment rows under log1p_parametric.
responsibility_shielding_tests.csv,location_statistic_reported,reported location statistic,Which location difference the estimate columns should be interpreted as.,mean_difference | median_difference,mean_difference,Mean for parametric rows; median for nonparametric rows.
responsibility_shielding_tests.csv,inclusion_filter,inclusion filter,Which participant set the row was computed on.,included_only | all_finishers,"included_only, all_finishers","Whether the row was computed on preregistered included participants only, or all participants who finished."
responsibility_shielding_tests.csv,story_condition,story family,Whether the row pools stories or restricts to one story family.,pooled | firework | trolley | all,"pooled, firework, trolley",Used in story-specific and pooled contrasts.
responsibility_shielding_tests.csv,load_condition,load condition slice,Whether the row pools load conditions or restricts to one load condition.,pooled | high | low,"pooled, high, low",Used in the cognitive-load breakdowns.
responsibility_shielding_tests.csv,analysis_scope,analysis design,Whether the row compares different participant groups (first-vignette only) or paired ratings from the same participants (all vignettes).,between_subjects_first_vignette | within_subjects_all_vignettes,"between_subjects_first_vignette, within_subjects_all_vignettes","Matches the analysis_scope column in group_summaries and integrated_blame_models, using the same fine-grained value names."
responsibility_shielding_tests.csv,dv,dependent variable,Which dependent variable the row analyzes.,blame | wrong | punish,"blame, wrong, punish",Short schema names used throughout the code.
responsibility_shielding_tests.csv,agent_role,judged agent role,Whether the row pertains to the distal actor or the proximate node.,distal | proximate,"distal, proximate",Between-subject rows should always be distal in the new schema.
responsibility_shielding_tests.csv,contrast_type,contrast label,Which substantive comparison the row represents.,"CH - CC | DIV - CC | CH - DIV | MIN(CH, DIV) - CC | CC - CH","CH - CC, DIV - CC, CH - DIV, MIN(CH, DIV) - CC, CC - CH",The positive direction of the contrast is the direction assumed by p_value_one_tailed.
responsibility_shielding_tests.csv,group_a,left side of contrast,The group or condition on the left side of the estimated contrast.,string label,"CH, DIV, MIN(CH,DIV), CC",Used together with group_b to define the sign of the estimate.
responsibility_shielding_tests.csv,group_b,right side of contrast,The group or condition on the right side of the estimated contrast.,string label,"CC, DIV, CH",Used together with group_a to define the sign of the estimate.
responsibility_shielding_tests.csv,n_a,sample size for group A,Number of usable observations on the left side of the contrast.,numeric count,"93, 94, 282, 39, 41",For within-subject paired rows this should match n_b.
responsibility_shielding_tests.csv,n_b,sample size for group B,Number of usable observations on the right side of the contrast.,numeric count,"95, 94, 282, 51, 41",For within-subject paired rows this should match n_a.
